Reviewer,Review Title,Review
Val & Mel,super,"perso je ne connaissais pas le serum.Je connais les shampooings ,les conditionneurs et je dois dire que je ne suis pas deçue c est un super serum ...il ne graisse pas les cheveux appliquer sur cheveux secs du bout des doigts sur vos pointes et vous pouvez mettre un coup de lisseur ...cheveux doux brillants et bonne odeur 5 etoiles ce n est pas volé"
Customer,Minuscule pour le prix que sa coûte.,La taille de mon petit doigt si j’aurais su pour le prix que sa coute je me serais tournée sur une autre marque c’est vraiment de l’arnaque à côté de la photo faudrais mettre une fève enfet pour qu’on se rendent compte que c’est mini pas zoomer sur le produit comme si il fesais 100 ml oe c 10 ml le bordel…bref n’importe quoi mais sinon livraison rapide cet petite khra et en vrai appliquée c un bon serum fin c mon impression
julie,Très bon serum,"Serum découvert dans une box beauté. J'ai vu une réelle efficacité sur mes cheveux comparé à d'autres produit que j'utilisais.
Il nourrit vraiment le cheveux sec (j'ai en plus les cheveux coloré cuivré).
Ce n'est pas le serum le moins cher mais il fait vraiment la différence avec ceux de grande surface et a une efficacité plus visible que d'autres serums sur une gamme de prix similaire."
Client Amazon,Conforme,Efficacité
julie,Fait son job,Très bonne huile hydratante. Pas trop grasse
Client Amazon,Sent bon,Sans emballage il est arrivé dévissé et c'est un peu renversé donc le vendeur n'est pas soigneux son produit est bon par contre.
Lilou,Sérum magique,"Pour moi c'est le seul parfait. Il nourrit, hydrate et parfume idéalement les cheveux"
Léa Amraoui,Je recommande,"Quelques problèmes au niveau de la livraison mais à part ca très satisfaite du produit.
L'odeur est agréable la texture aussi, ne laisse pas du tout les cheveux gras.
Le prix peut paraître un peu cher mais au vu de la quantité qu'on utilise c'est assez rentable.
Je recommande vraiment ce produit."
Angelique FONLUPT,Bien trop cher pour ce que c'est !!,"Je mets rârement des revues négatives mais on peut dire que ceci est du vol vu le prix.. Le flacon fait à peine la taille d'un doigt, la pompe ne fonctionne pas et le produit n'est même pas si miraculeux que ça.. des produits du même genre dans la gamme L'Oréal (que je n'aime pas forcément) donnent un meilleur résultat.. très déçue d'avoir dépensé autant dans cet achat!"
Christelle Perrault,Produit conforme et livré rapidement. Il est génial !,Après chaque lissage je mets quelques gouttes dans mes cheveux et ils deviennent très soyeux.
Client d'Amazon,super,"perso je ne connaissais pas le serum.Je connais les shampooings ,les conditionneurs et je dois dire que je ne suis pas deçue c est un super serum ...il ne graisse pas les cheveux appliquer sur cheveux secs du bout des doigts sur vos pointes et vous pouvez mettre un coup de lisseur ...cheveux doux brillants et bonne odeur 5 etoiles ce n est pas volé"
Myriam,Minuscule pour le prix que sa coûte.,La taille de mon petit doigt si j’aurais su pour le prix que sa coute je me serais tournée sur une autre marque c’est vraiment de l’arnaque à côté de la photo faudrais mettre une fève enfet pour qu’on se rendent compte que c’est mini pas zoomer sur le produit comme si il fesais 100 ml oe c 10 ml le bordel…bref n’importe quoi mais sinon livraison rapide cet petite khra et en vrai appliquée c un bon serum fin c mon impression
Val & Mel,Très bon serum,"Serum découvert dans une box beauté. J'ai vu une réelle efficacité sur mes cheveux comparé à d'autres produit que j'utilisais.
Il nourrit vraiment le cheveux sec (j'ai en plus les cheveux coloré cuivré).
Ce n'est pas le serum le moins cher mais il fait vraiment la différence avec ceux de grande surface et a une efficacité plus visible que d'autres serums sur une gamme de prix similaire."
Customer,Conforme,Efficacité
julie,Fait son job,Très bonne huile hydratante. Pas trop grasse
Client Amazon,Sent bon,Sans emballage il est arrivé dévissé et c'est un peu renversé donc le vendeur n'est pas soigneux son produit est bon par contre.
julie,Sérum magique,"Pour moi c'est le seul parfait. Il nourrit, hydrate et parfume idéalement les cheveux"
Client Amazon,Je recommande,"Quelques problèmes au niveau de la livraison mais à part ca très satisfaite du produit.
L'odeur est agréable la texture aussi, ne laisse pas du tout les cheveux gras.
Le prix peut paraître un peu cher mais au vu de la quantité qu'on utilise c'est assez rentable.
Je recommande vraiment ce produit."
Lilou,Bien trop cher pour ce que c'est !!,"Je mets rârement des revues négatives mais on peut dire que ceci est du vol vu le prix.. Le flacon fait à peine la taille d'un doigt, la pompe ne fonctionne pas et le produit n'est même pas si miraculeux que ça.. des produits du même genre dans la gamme L'Oréal (que je n'aime pas forcément) donnent un meilleur résultat.. très déçue d'avoir dépensé autant dans cet achat!"
Léa Amraoui,Produit conforme et livré rapidement. Il est génial !,Après chaque lissage je mets quelques gouttes dans mes cheveux et ils deviennent très soyeux.
Angelique FONLUPT,super,"perso je ne connaissais pas le serum.Je connais les shampooings ,les conditionneurs et je dois dire que je ne suis pas deçue c est un super serum ...il ne graisse pas les cheveux appliquer sur cheveux secs du bout des doigts sur vos pointes et vous pouvez mettre un coup de lisseur ...cheveux doux brillants et bonne odeur 5 etoiles ce n est pas volé"
Christelle Perrault,Minuscule pour le prix que sa coûte.,La taille de mon petit doigt si j’aurais su pour le prix que sa coute je me serais tournée sur une autre marque c’est vraiment de l’arnaque à côté de la photo faudrais mettre une fève enfet pour qu’on se rendent compte que c’est mini pas zoomer sur le produit comme si il fesais 100 ml oe c 10 ml le bordel…bref n’importe quoi mais sinon livraison rapide cet petite khra et en vrai appliquée c un bon serum fin c mon impression
Client d'Amazon,Très bon serum,"Serum découvert dans une box beauté. J'ai vu une réelle efficacité sur mes cheveux comparé à d'autres produit que j'utilisais.
Il nourrit vraiment le cheveux sec (j'ai en plus les cheveux coloré cuivré).
Ce n'est pas le serum le moins cher mais il fait vraiment la différence avec ceux de grande surface et a une efficacité plus visible que d'autres serums sur une gamme de prix similaire."
Myriam,Conforme,Efficacité
Val & Mel,Fait son job,Très bonne huile hydratante. Pas trop grasse
Customer,Sent bon,Sans emballage il est arrivé dévissé et c'est un peu renversé donc le vendeur n'est pas soigneux son produit est bon par contre.
julie,Sérum magique,"Pour moi c'est le seul parfait. Il nourrit, hydrate et parfume idéalement les cheveux"
Client Amazon,Je recommande,"Quelques problèmes au niveau de la livraison mais à part ca très satisfaite du produit.
L'odeur est agréable la texture aussi, ne laisse pas du tout les cheveux gras.
Le prix peut paraître un peu cher mais au vu de la quantité qu'on utilise c'est assez rentable.
Je recommande vraiment ce produit."
julie,Bien trop cher pour ce que c'est !!,"Je mets rârement des revues négatives mais on peut dire que ceci est du vol vu le prix.. Le flacon fait à peine la taille d'un doigt, la pompe ne fonctionne pas et le produit n'est même pas si miraculeux que ça.. des produits du même genre dans la gamme L'Oréal (que je n'aime pas forcément) donnent un meilleur résultat.. très déçue d'avoir dépensé autant dans cet achat!"
Client Amazon,Produit conforme et livré rapidement. Il est génial !,Après chaque lissage je mets quelques gouttes dans mes cheveux et ils deviennent très soyeux.
Lilou,super,"perso je ne connaissais pas le serum.Je connais les shampooings ,les conditionneurs et je dois dire que je ne suis pas deçue c est un super serum ...il ne graisse pas les cheveux appliquer sur cheveux secs du bout des doigts sur vos pointes et vous pouvez mettre un coup de lisseur ...cheveux doux brillants et bonne odeur 5 etoiles ce n est pas volé"
Léa Amraoui,Minuscule pour le prix que sa coûte.,La taille de mon petit doigt si j’aurais su pour le prix que sa coute je me serais tournée sur une autre marque c’est vraiment de l’arnaque à côté de la photo faudrais mettre une fève enfet pour qu’on se rendent compte que c’est mini pas zoomer sur le produit comme si il fesais 100 ml oe c 10 ml le bordel…bref n’importe quoi mais sinon livraison rapide cet petite khra et en vrai appliquée c un bon serum fin c mon impression
Angelique FONLUPT,Très bon serum,"Serum découvert dans une box beauté. J'ai vu une réelle efficacité sur mes cheveux comparé à d'autres produit que j'utilisais.
Il nourrit vraiment le cheveux sec (j'ai en plus les cheveux coloré cuivré).
Ce n'est pas le serum le moins cher mais il fait vraiment la différence avec ceux de grande surface et a une efficacité plus visible que d'autres serums sur une gamme de prix similaire."
Christelle Perrault,Conforme,Efficacité
Client d'Amazon,Fait son job,Très bonne huile hydratante. Pas trop grasse
Myriam,Sent bon,Sans emballage il est arrivé dévissé et c'est un peu renversé donc le vendeur n'est pas soigneux son produit est bon par contre.
Val & Mel,Sérum magique,"Pour moi c'est le seul parfait. Il nourrit, hydrate et parfume idéalement les cheveux"
Customer,Je recommande,"Quelques problèmes au niveau de la livraison mais à part ca très satisfaite du produit.
L'odeur est agréable la texture aussi, ne laisse pas du tout les cheveux gras.
Le prix peut paraître un peu cher mais au vu de la quantité qu'on utilise c'est assez rentable.
Je recommande vraiment ce produit."
julie,Bien trop cher pour ce que c'est !!,"Je mets rârement des revues négatives mais on peut dire que ceci est du vol vu le prix.. Le flacon fait à peine la taille d'un doigt, la pompe ne fonctionne pas et le produit n'est même pas si miraculeux que ça.. des produits du même genre dans la gamme L'Oréal (que je n'aime pas forcément) donnent un meilleur résultat.. très déçue d'avoir dépensé autant dans cet achat!"
Client Amazon,Produit conforme et livré rapidement. Il est génial !,Après chaque lissage je mets quelques gouttes dans mes cheveux et ils deviennent très soyeux.
julie,super,"perso je ne connaissais pas le serum.Je connais les shampooings ,les conditionneurs et je dois dire que je ne suis pas deçue c est un super serum ...il ne graisse pas les cheveux appliquer sur cheveux secs du bout des doigts sur vos pointes et vous pouvez mettre un coup de lisseur ...cheveux doux brillants et bonne odeur 5 etoiles ce n est pas volé"
Client Amazon,Minuscule pour le prix que sa coûte.,La taille de mon petit doigt si j’aurais su pour le prix que sa coute je me serais tournée sur une autre marque c’est vraiment de l’arnaque à côté de la photo faudrais mettre une fève enfet pour qu’on se rendent compte que c’est mini pas zoomer sur le produit comme si il fesais 100 ml oe c 10 ml le bordel…bref n’importe quoi mais sinon livraison rapide cet petite khra et en vrai appliquée c un bon serum fin c mon impression
Lilou,Très bon serum,"Serum découvert dans une box beauté. J'ai vu une réelle efficacité sur mes cheveux comparé à d'autres produit que j'utilisais.
Il nourrit vraiment le cheveux sec (j'ai en plus les cheveux coloré cuivré).
Ce n'est pas le serum le moins cher mais il fait vraiment la différence avec ceux de grande surface et a une efficacité plus visible que d'autres serums sur une gamme de prix similaire."
Léa Amraoui,Conforme,Efficacité
Angelique FONLUPT,Fait son job,Très bonne huile hydratante. Pas trop grasse
Christelle Perrault,Sent bon,Sans emballage il est arrivé dévissé et c'est un peu renversé donc le vendeur n'est pas soigneux son produit est bon par contre.
Client d'Amazon,Sérum magique,"Pour moi c'est le seul parfait. Il nourrit, hydrate et parfume idéalement les cheveux"
Myriam,Je recommande,"Quelques problèmes au niveau de la livraison mais à part ca très satisfaite du produit.
L'odeur est agréable la texture aussi, ne laisse pas du tout les cheveux gras.
Le prix peut paraître un peu cher mais au vu de la quantité qu'on utilise c'est assez rentable.
Je recommande vraiment ce produit."
Val & Mel,Bien trop cher pour ce que c'est !!,"Je mets rârement des revues négatives mais on peut dire que ceci est du vol vu le prix.. Le flacon fait à peine la taille d'un doigt, la pompe ne fonctionne pas et le produit n'est même pas si miraculeux que ça.. des produits du même genre dans la gamme L'Oréal (que je n'aime pas forcément) donnent un meilleur résultat.. très déçue d'avoir dépensé autant dans cet achat!"
Customer,Produit conforme et livré rapidement. Il est génial !,Après chaque lissage je mets quelques gouttes dans mes cheveux et ils deviennent très soyeux.
julie,super,"perso je ne connaissais pas le serum.Je connais les shampooings ,les conditionneurs et je dois dire que je ne suis pas deçue c est un super serum ...il ne graisse pas les cheveux appliquer sur cheveux secs du bout des doigts sur vos pointes et vous pouvez mettre un coup de lisseur ...cheveux doux brillants et bonne odeur 5 etoiles ce n est pas volé"
Client Amazon,Minuscule pour le prix que sa coûte.,La taille de mon petit doigt si j’aurais su pour le prix que sa coute je me serais tournée sur une autre marque c’est vraiment de l’arnaque à côté de la photo faudrais mettre une fève enfet pour qu’on se rendent compte que c’est mini pas zoomer sur le produit comme si il fesais 100 ml oe c 10 ml le bordel…bref n’importe quoi mais sinon livraison rapide cet petite khra et en vrai appliquée c un bon serum fin c mon impression
julie,Très bon serum,"Serum découvert dans une box beauté. J'ai vu une réelle efficacité sur mes cheveux comparé à d'autres produit que j'utilisais.
Il nourrit vraiment le cheveux sec (j'ai en plus les cheveux coloré cuivré).
Ce n'est pas le serum le moins cher mais il fait vraiment la différence avec ceux de grande surface et a une efficacité plus visible que d'autres serums sur une gamme de prix similaire."
Client Amazon,Conforme,Efficacité
